"date","value"
1959-09-30,78679
1959-12-31,79412
1960-03-31,79810
1960-06-30,81999
1960-09-30,82177
1960-12-31,82020
1961-03-31,82274
1961-06-30,81371
1961-09-30,80780
1961-12-31,81708
1962-03-31,83993
1962-06-30,85605
1962-09-30,86291
1962-12-31,87844
1963-03-31,89878
1963-06-30,88715
1963-09-30,92355
1963-12-31,94327
1964-03-31,94168
1964-06-30,96499
1964-09-30,97093
1964-12-31,99851
1965-03-31,100696
1965-06-30,102276
1965-09-30,101969
1965-12-31,102220
1966-03-31,101924
1966-06-30,103316
1966-09-30,106235
1966-12-31,106934
1967-03-31,111116
1967-06-30,110959
1967-09-30,113040
1967-12-31,114020
1968-03-31,113001
1968-06-30,117352
1968-09-30,118899
1968-12-31,123337
1969-03-31,122488
1969-06-30,124915
1969-09-30,126980
1969-12-31,129914
1970-03-31,132600
1970-06-30,135281
1970-09-30,134997
1970-12-31,135629
1971-03-31,137274
1971-06-30,137869
1971-09-30,142180
1971-12-31,141731
1972-03-31,140039
1972-06-30,143159
1972-09-30,142435
1972-12-31,143927
1973-03-31,147662
1973-06-30,147942
1973-09-30,149420
1973-12-31,153157
1974-03-31,153200
1974-06-30,150090
1974-09-30,151870
1974-12-31,152031
1975-03-31,152613
1975-06-30,157446
1975-09-30,155699
1975-12-31,153357
1976-03-31,160162
1976-06-30,160635
1976-09-30,161939
1976-12-31,163343
1977-03-31,162457
1977-06-30,164758
1977-09-30,164047
1977-12-31,163543
1978-03-31,164677
1978-06-30,166060
1978-09-30,168586
1978-12-31,169957
1979-03-31,174629
1979-06-30,171820
1979-09-30,173418
1979-12-31,176756
1980-03-31,177588
1980-06-30,178025
1980-09-30,178985
1980-12-31,182056
1981-03-31,182737
1981-06-30,185581
1981-09-30,189325
1981-12-31,188546
1982-03-31,187041
1982-06-30,188701
1982-09-30,187456
1982-12-31,184440
1983-03-31,182664
1983-06-30,182290
1983-09-30,187400
1983-12-31,190565
1984-03-31,195227
1984-06-30,197508
1984-09-30,199326
1984-12-31,200529
1985-03-31,203488
1985-06-30,208037
1985-09-30,210704
1985-12-31,210114
1986-03-31,211563
1986-06-30,211180
1986-09-30,211736
1986-12-31,215228
1987-03-31,217362
1987-06-30,220828
1987-09-30,224806
1987-12-31,229354
1988-03-31,230290
1988-06-30,230518
1988-09-30,232362
1988-12-31,236148
1989-03-31,238353
1989-06-30,243544
1989-09-30,245578
1989-12-31,244900
1990-03-31,246793
1990-06-30,247137
1990-09-30,245808
1990-12-31,247163
1991-03-31,244057
1991-06-30,243617
1991-09-30,244685
1991-12-31,244851
1992-03-31,246757
1992-06-30,248551
1992-09-30,251001
1992-12-31,256223
1993-03-31,257994
1993-06-30,259481
1993-09-30,259814
1993-12-31,264555
1994-03-31,268955
1994-06-30,272163
1994-09-30,274227
1994-12-31,277283
1995-03-31,277045
1995-06-30,278335
1995-09-30,284772
1995-12-31,284722
1996-03-31,289162
1996-06-30,291003
1996-09-30,293303
1996-12-31,296092
1997-03-31,298156
1997-06-30,307097
1997-09-30,307524
1997-12-31,311905
1998-03-31,313855
1998-06-30,317073
1998-09-30,322971
1998-12-31,327989
1999-03-31,330452
1999-06-30,331809
1999-09-30,335375
1999-12-31,341129
2000-03-31,342430
2000-06-30,345785
2000-09-30,346667
2000-12-31,345369
2001-03-31,348598
2001-06-30,351723
2001-09-30,355814
2001-12-31,360013
2002-03-31,362852
2002-06-30,369088
2002-09-30,369994
2002-12-31,373112
2003-03-31,373945
2003-06-30,375463
2003-09-30,381825
2003-12-31,388294
2004-03-31,391259
2004-06-30,394183
2004-09-30,396780
2004-12-31,399807
2005-03-31,403103
2005-06-30,404935
2005-09-30,409254
2005-12-31,412661
2006-03-31,412927
2006-06-30,413996
2006-09-30,420227
2006-12-31,425509
2007-03-31,431277
2007-06-30,434043
2007-09-30,439202
2007-12-31,440720
2008-03-31,445509
2008-06-30,446988
2008-09-30,449968
2008-12-31,448054
2009-03-31,452490
2009-06-30,455451
2009-09-30,457040
2009-12-31,460714
2010-03-31,462727
2010-06-30,465573
2010-09-30,468880
2010-12-31,472679
2011-03-31,471674
2011-06-30,477257
2011-09-30,483892
2011-12-31,489124
2012-03-31,494027
2012-06-30,497493
2012-09-30,500614
2012-12-31,502634
2013-03-31,505259
2013-06-30,507150
2013-09-30,511282
2013-12-31,515343
2014-03-31,519355
2014-06-30,521989
2014-09-30,524092
2014-12-31,526092
2015-03-31,531220
2015-06-30,531857
2015-09-30,537014
2015-12-31,540382
2016-03-31,545315
2016-06-30,548862
2016-09-30,548814
2016-12-31,555152
2017-03-31,556828
2017-06-30,560283
2017-09-30,565488
2017-12-31,567859
2018-03-31,573671
2018-06-30,577992
2018-09-30,580152
2018-12-31,581457
2019-03-31,585583
2019-06-30,587437
2019-09-30,590801
2019-12-31,594225
2020-03-31,593309
2020-06-30,553502
2020-09-30,572894
2020-12-31,592265
2021-03-31,605368
2021-06-30,610538
2021-09-30,600220
2021-12-31,621145
2022-03-31,627035
2022-06-30,633680
2022-09-30,636640
2022-12-31,640720
2023-03-31,643675
2023-06-30,646478
2023-09-30,649753
2023-12-31,650288
2024-03-31,651115
2024-06-30,652609
2024-09-30,654696
2024-12-31,658429
2025-03-31,659819
