"date","value"
1959-09-30,3972
1959-12-31,4088
1960-03-31,4166
1960-06-30,4378
1960-09-30,4400
1960-12-31,4428
1961-03-31,4421
1961-06-30,4322
1961-09-30,4331
1961-12-31,4367
1962-03-31,4498
1962-06-30,4594
1962-09-30,4651
1962-12-31,4782
1963-03-31,4925
1963-06-30,4890
1963-09-30,5150
1963-12-31,5257
1964-03-31,5319
1964-06-30,5501
1964-09-30,5586
1964-12-31,5765
1965-03-31,5851
1965-06-30,5965
1965-09-30,5986
1965-12-31,6057
1966-03-31,6092
1966-06-30,6250
1966-09-30,6537
1966-12-31,6701
1967-03-31,6938
1967-06-30,6988
1967-09-30,7094
1967-12-31,7235
1968-03-31,7345
1968-06-30,7532
1968-09-30,7756
1968-12-31,8169
1969-03-31,8283
1969-06-30,8545
1969-09-30,8858
1969-12-31,9074
1970-03-31,9298
1970-06-30,9656
1970-09-30,9719
1970-12-31,9880
1971-03-31,10261
1971-06-30,10493
1971-09-30,10902
1971-12-31,10918
1972-03-31,11118
1972-06-30,11542
1972-09-30,11702
1972-12-31,12091
1973-03-31,12696
1973-06-30,13293
1973-09-30,14037
1973-12-31,14970
1974-03-31,15498
1974-06-30,15768
1974-09-30,16753
1974-12-31,17647
1975-03-31,17999
1975-06-30,18830
1975-09-30,19402
1975-12-31,20338
1976-03-31,21303
1976-06-30,22240
1976-09-30,23016
1976-12-31,23750
1977-03-31,24279
1977-06-30,25103
1977-09-30,25442
1977-12-31,25730
1978-03-31,26577
1978-06-30,27372
1978-09-30,28290
1978-12-31,29035
1979-03-31,30491
1979-06-30,30960
1979-09-30,32032
1979-12-31,33310
1980-03-31,34220
1980-06-30,34990
1980-09-30,36148
1980-12-31,37805
1981-03-31,38555
1981-06-30,39988
1981-09-30,42160
1981-12-31,43357
1982-03-31,44286
1982-06-30,45974
1982-09-30,46558
1982-12-31,47284
1983-03-31,47696
1983-06-30,48207
1983-09-30,50999
1983-12-31,52410
1984-03-31,54572
1984-06-30,55819
1984-09-30,56487
1984-12-31,57421
1985-03-31,59623
1985-06-30,61954
1985-09-30,63394
1985-12-31,64626
1986-03-31,65847
1986-06-30,67029
1986-09-30,68264
1986-12-31,70549
1987-03-31,72336
1987-06-30,75066
1987-09-30,77467
1987-12-31,79790
1988-03-31,82675
1988-06-30,84725
1988-09-30,87739
1988-12-31,90598
1989-03-31,93227
1989-06-30,96843
1989-09-30,98717
1989-12-31,100454
1990-03-31,102270
1990-06-30,104207
1990-09-30,103611
1990-12-31,104850
1991-03-31,103441
1991-06-30,103499
1991-09-30,104266
1991-12-31,105234
1992-03-31,106759
1992-06-30,107165
1992-09-30,108192
1992-12-31,110383
1993-03-31,112266
1993-06-30,113413
1993-09-30,113255
1993-12-31,115645
1994-03-31,118001
1994-06-30,119521
1994-09-30,123044
1994-12-31,122406
1995-03-31,124575
1995-06-30,126278
1995-09-30,128990
1995-12-31,131592
1996-03-31,133194
1996-06-30,135308
1996-09-30,135966
1996-12-31,137931
1997-03-31,139213
1997-06-30,142744
1997-09-30,143640
1997-12-31,147478
1998-03-31,148576
1998-06-30,149789
1998-09-30,152428
1998-12-31,155341
1999-03-31,156801
1999-06-30,157667
1999-09-30,160524
1999-12-31,163392
2000-03-31,168316
2000-06-30,170526
2000-09-30,174723
2000-12-31,173864
2001-03-31,178737
2001-06-30,180578
2001-09-30,184344
2001-12-31,186830
2002-03-31,190977
2002-06-30,194274
2002-09-30,196939
2002-12-31,200182
2003-03-31,202397
2003-06-30,204367
2003-09-30,209088
2003-12-31,214334
2004-03-31,218487
2004-06-30,221903
2004-09-30,225004
2004-12-31,228931
2005-03-31,233246
2005-06-30,238178
2005-09-30,243697
2005-12-31,249088
2006-03-31,252022
2006-06-30,255328
2006-09-30,262803
2006-12-31,269797
2007-03-31,276632
2007-06-30,280712
2007-09-30,285153
2007-12-31,290509
2008-03-31,298149
2008-06-30,305836
2008-09-30,315463
2008-12-31,315913
2009-03-31,317331
2009-06-30,312767
2009-09-30,313783
2009-12-31,320904
2010-03-31,328418
2010-06-30,340020
2010-09-30,344957
2010-12-31,351072
2011-03-31,356842
2011-06-30,365838
2011-09-30,372327
2011-12-31,373207
2012-03-31,374227
2012-06-30,379478
2012-09-30,380340
2012-12-31,381834
2013-03-31,385589
2013-06-30,389853
2013-09-30,393956
2013-12-31,400060
2014-03-31,403254
2014-06-30,402751
2014-09-30,402725
2014-12-31,405269
2015-03-31,408232
2015-06-30,407281
2015-09-30,411885
2015-12-31,412118
2016-03-31,414494
2016-06-30,419266
2016-09-30,424715
2016-12-31,438897
2017-03-31,446713
2017-06-30,446706
2017-09-30,452601
2017-12-31,455183
2018-03-31,463997
2018-06-30,470250
2018-09-30,477632
2018-12-31,482380
2019-03-31,489544
2019-06-30,497139
2019-09-30,503900
2019-12-31,502848
2020-03-31,504765
2020-06-30,468676
2020-09-30,488769
2020-12-31,511430
2021-03-31,532781
2021-06-30,551947
2021-09-30,549902
2021-12-31,567956
2022-03-31,593084
2022-06-30,621645
2022-09-30,630020
2022-12-31,638306
2023-03-31,650175
2023-06-30,647971
2023-09-30,656822
2023-12-31,665765
2024-03-31,674490
2024-06-30,676483
2024-09-30,679674
2024-12-31,690122
2025-03-31,699617
