date,tot_index
1959-09-30,53.2
1959-12-31,52.2
1960-03-31,55.5
1960-06-30,56.1
1960-09-30,52.0
1960-12-31,54.7
1961-03-31,52.3
1961-06-30,49.4
1961-09-30,52.2
1961-12-31,51.3
1962-03-31,53.1
1962-06-30,53.0
1962-09-30,52.1
1962-12-31,51.9
1963-03-31,54.5
1963-06-30,55.6
1963-09-30,57.6
1963-12-31,58.7
1964-03-31,60.8
1964-06-30,58.9
1964-09-30,58.3
1964-12-31,57.4
1965-03-31,55.4
1965-06-30,54.0
1965-09-30,55.0
1965-12-31,55.9
1966-03-31,57.0
1966-06-30,57.0
1966-09-30,56.0
1966-12-31,57.6
1967-03-31,56.0
1967-06-30,54.2
1967-09-30,52.1
1967-12-31,52.9
1968-03-31,54.0
1968-06-30,55.4
1968-09-30,53.3
1968-12-31,52.6
1969-03-31,58.2
1969-06-30,56.6
1969-09-30,55.6
1969-12-31,54.8
1970-01-01,58.3
1970-03-31,58.3
1970-06-30,55.3
1970-09-30,54.4
1970-12-31,52.1
1971-03-31,52.3
1971-06-30,51.2
1971-09-30,52.0
1971-12-31,45.5
1972-03-31,48.5
1972-06-30,50.5
1972-09-30,53.3
1972-12-31,54.3
1973-03-31,62.0
1973-06-30,63.8
1973-09-30,63.5
1973-12-31,63.0
1974-03-31,66.3
1974-06-30,60.4
1974-09-30,59.9
1974-12-31,56.9
1975-03-31,56.0
1975-06-30,55.6
1975-09-30,54.3
1975-12-31,54.0
1976-03-31,54.2
1976-06-30,56.1
1976-09-30,54.9
1976-12-31,53.1
1977-03-31,52.5
1977-06-30,52.0
1977-09-30,49.2
1977-12-31,47.8
1978-03-31,47.7
1978-06-30,48.7
1978-09-30,47.8
1978-12-31,47.4
1979-03-31,48.3
1979-06-30,50.2
1979-09-30,50.2
1979-12-31,50.7
1980-03-31,50.8
1980-06-30,49.7
1980-09-30,49.6
1980-12-31,49.6
1981-03-31,50.2
1981-06-30,49.5
1981-09-30,50.4
1981-12-31,49.0
1982-03-31,47.6
1982-06-30,48.8
1982-09-30,48.5
1982-12-31,48.1
1983-03-31,48.3
1983-06-30,48.9
1983-09-30,48.8
1983-12-31,49.4
1984-03-31,49.3
1984-06-30,49.5
1984-09-30,49.8
1984-12-31,49.7
1985-03-31,49.4
1985-06-30,46.3
1985-09-30,45.6
1985-12-31,43.6
1986-03-31,43.4
1986-06-30,43.5
1986-09-30,41.5
1986-12-31,41.4
1987-03-31,41.7
1987-06-30,42.6
1987-09-30,43.7
1987-12-31,43.7
1988-03-31,45.9
1988-06-30,47.9
1988-09-30,50.5
1988-12-31,50.8
1989-03-31,53.3
1989-06-30,53.0
1989-09-30,52.1
1989-12-31,52.3
1990-03-31,52.2
1990-06-30,52.5
1990-09-30,51.9
1990-12-31,49.4
1991-03-31,48.7
1991-06-30,48.2
1991-09-30,48.3
1991-12-31,47.8
1992-03-31,47.9
1992-06-30,47.5
1992-09-30,46.7
1992-12-31,46.1
1993-03-31,46.2
1993-06-30,44.9
1993-09-30,44.6
1993-12-31,44.4
1994-03-31,44.9
1994-06-30,44.8
1994-09-30,45.0
1994-12-31,46.6
1995-03-31,46.9
1995-06-30,46.3
1995-09-30,46.6
1995-12-31,47.2
1996-03-31,47.9
1996-06-30,48.8
1996-09-30,48.9
1996-12-31,48.9
1997-03-31,49.0
1997-06-30,49.4
1997-09-30,49.4
1997-12-31,49.1
1998-03-31,48.3
1998-06-30,48.1
1998-09-30,46.6
1998-12-31,46.1
1999-03-31,46.6
1999-06-30,46.3
1999-09-30,46.9
1999-12-31,47.8
2000-03-31,49.3
2000-06-30,48.6
2000-09-30,49.3
2000-12-31,49.1
2001-03-31,49.1
2001-06-30,48.8
2001-09-30,49.5
2001-12-31,49.4
2002-03-31,50.4
2002-06-30,49.8
2002-09-30,49.9
2002-12-31,50.3
2003-03-31,50.7
2003-06-30,50.9
2003-09-30,51.9
2003-12-31,53.0
2004-03-31,55.0
2004-06-30,56.5
2004-09-30,57.1
2004-12-31,57.8
2005-03-31,59.4
2005-06-30,63.3
2005-09-30,63.5
2005-12-31,65.3
2006-03-31,66.8
2006-06-30,67.1
2006-09-30,67.9
2006-12-31,70.1
2007-03-31,72.1
2007-06-30,71.5
2007-09-30,70.9
2007-12-31,72.2
2008-03-31,74.1
2008-06-30,80.2
2008-09-30,85.2
2008-12-31,83.1
2009-03-31,79.0
2009-06-30,71.4
2009-09-30,70.1
2009-12-31,73.0
2010-03-31,77.3
2010-06-30,86.3
2010-09-30,87.8
2010-12-31,89.9
2011-03-31,95.2
2011-06-30,97.4
2011-09-30,98.4
2011-12-31,94.4
2012-03-31,89.7
2012-06-30,88.7
2012-09-30,84.8
2012-12-31,83.6
2013-03-31,84.3
2013-06-30,84.1
2013-09-30,82.4
2013-12-31,83.1
2014-03-31,81.2
2014-06-30,77.9
2014-09-30,75.5
2014-12-31,74.0
2015-03-31,71.6
2015-06-30,69.2
2015-09-30,67.8
2015-12-31,64.9
2016-03-31,63.5
2016-06-30,65.5
2016-09-30,68.5
2016-12-31,75.9
2017-03-31,78.8
2017-06-30,75.4
2017-09-30,75.6
2017-12-31,75.4
2018-03-31,76.5
2018-06-30,76.9
2018-09-30,78.0
2018-12-31,79.7
2019-03-31,80.7
2019-06-30,83.3
2019-09-30,84.1
2019-12-31,79.7
2020-03-31,79.7
2020-06-30,80.8
2020-09-30,81.8
2020-12-31,84.7
2021-03-31,90.7
2021-06-30,99.4
2021-09-30,99.7
2021-12-31,92.4
2022-03-31,100.4
2022-06-30,107.8
2022-09-30,103.0
2022-12-31,99.8
2023-03-31,101.9
2023-06-30,95.2
2023-09-30,93.0
2023-12-31,95.4
2024-03-31,94.9
2024-06-30,91.7
2024-09-30,89.5
2024-12-31,91.0
2025-03-31,91.1
